hospital_id,hospital_name,state,district,distance_km,specialties,specialty_match,total_beds,number_doctor,state_total_demand,condition_demand,recommendation_score
10575,Apollo Speciality Hospital,Karnataka,Bengaluru Urban,7.834721358944059,"Cardiac surgery, General and  Gastro-intestinal surgery, Gynecology, Pediatric surgery, Thoracic surgery, Urology, Colorectal surgery, Cancer surgery, Orthopedics, Neurosurgery and Ear, Nose and Throat surgery",0,250.0,0.0,32,0,0.37234846
10603,Jayashree Multispeciality Hospital,Karnataka,Bengaluru Urban,6.6341823112758584,"Electrocardiogram (ECG), Echocardiography, Endoscopy\nPhysiotherapy, Major OT equipped with C-Arm, capable of handling, Endoscopic Surgeries, Arthroscopic Surgery, Laparoscopic Surgery, Urotroscopic Surgery, Hysteroscopy, Joint Replacement, Knee Joint, Hip Joint, Minor OT capable of handling, All septic cases, All interventional procedures\n",0,23.0,0.0,32,0,0.26556867
